Destination Name,Country,Continent,Type,Avg Cost (USD/day),Best Season,Avg Rating,Annual Visitors (M),UNESCO Site,Broader_Type,Cost_Category,country_flag,country_region,country_subregion,country_currency,country_currency_symbol,country_languages,country_capital,country_timezone,country_population,country_area,country_alpha2,country_alpha3,country_borders,country_latitude,country_longitude,DestinationID,Popularity,BestTimeToVisit,destination,avg_review_rating,review_count,popularity_score,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,air_pollution_avg,air_pollution_2023,destination_latitude,destination_longitude,destination_budget_level,Cluster,Description,image
Agadir Beach,Morocco,Africa,Beach,174.84,Summer,4.5,7.45,No,Nature,Expensive,🇲🇦,Africa,Northern Africa,MAD,DH,Arabic,Rabat,UTC+01:00,36900000.0,446550.0,MA,MAR,"DZ, EH, ES",31.7917,-7.0926,1,High,Summer,Serene Temple (Morocco),4.5,0,59.9,30.0,9.0,20.0,27.0,22.0,32.0,28.0,28.0,31.6492,-7.1601,Expensive,5,"Khám phá Serene Temple (Morocco) tại Morocco, một điểm đến beach tuyệt vời với phong cảnh đẹp và bầu không khí trong lành. Điểm đến này có chi phí dịch vụ expensive (đánh giá trung bình 4.5/5), thích hợp nhất để du lịch vào summer.",https://images.unsplash.com/photo-1511715282680-fbf93a50e721?w=1200&dest=serenetemplemorocco3264534728274312171
Cologne Cathedral,Germany,Europe,Religious,94.41,Summer,4.6,1.98,No,Heritage,Moderate,🇩🇪,Europe,Western Europe,EUR,€,German,Berlin,UTC+01:00,83100000.0,357022.0,DE,DEU,"DK, PL, CZ, AT, CH, FR, LU, BE, NL",51.1657,10.4515,2,High,Summer,Sacred Valley (Germany),4.6,1,49.96,65.0,28.0,47.0,52.0,58.0,95.0,12.0,12.0,51.0576,10.3322,Moderate,0,"Nếu bạn đang lên kế hoạch du lịch religious, Sacred Valley (Germany) ở Germany chính là lựa chọn lý tưởng. Với mức xếp hạng 4.6/5 sao từ cộng đồng du khách và chi phí du lịch thuộc phân khúc moderate, nơi này hứa hẹn kỳ nghỉ tuyệt vời vào summer.",https://images.unsplash.com/photo-1543629795-6c3e5d3e7e14?w=1200&dest=sacredvalleygermany383183816113765984
Kruger National Park,South Africa,Africa,Adventure,228.96,Summer,4.7,0.7,Yes,Adventure,Expensive,🇿🇦,Africa,Southern Africa,ZAR,R,"Zulu, Xhosa, Afrikaans, English",Pretoria,UTC+02:00,59300000.0,1221037.0,ZA,ZAF,"BW, LS, MZ, NA, SZ, ZW",-30.5595,22.9375,3,Medium,Summer,Serene Temple (South Africa),4.7,0,48.4,38.0,14.0,26.0,34.0,32.0,73.0,22.0,22.0,-30.6834,22.9141,Expensive,1,"Khám phá nét độc đáo của Serene Temple (South Africa) - điểm du lịch adventure đặc sắc tại South Africa. Nơi đây thu hút du khách nhờ các hoạt động trải nghiệm hấp dẫn vào summer, mức chi phí expensive cùng điểm số đánh giá 4.7/5 ấn tượng.",https://images.unsplash.com/photo-1484318571209-661cf29a69c3?w=1200&dest=serenetemplesouthafr6116998558196951105
Blue Mountains National Park,Australia,Oceania,Nature,120.96,Summer,4.3,2.24,No,Nature,Moderate,🇦🇺,Oceania,Australia and New Zealand,AUD,$,English,Canberra,UTC+10:00,25500000.0,7692024.0,AU,AUS,,-25.2744,133.7751,4,High,Summer,Sacred Plaza (Australia),4.3,0,47.48,75.0,36.0,56.0,72.0,70.0,105.0,5.0,5.0,-25.3963,133.6949,Moderate,0,"Khám phá Sacred Plaza (Australia) tại Australia, một điểm đến nature tuyệt vời với phong cảnh đẹp và bầu không khí trong lành. Điểm đến này có chi phí dịch vụ moderate (đánh giá trung bình 4.3/5), thích hợp nhất để du lịch vào summer.",https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=1200&dest=sacredplazaaustralia822716638026982422
Copper Canyon,Mexico,North America,Adventure,162.1,Spring,3.9,4.6,No,Adventure,Expensive,🇲🇽,Americas,Central America,MXN,$,Spanish,Mexico City,UTC-06:00,126000000.0,1964375.0,MX,MEX,"BZ, GT, US",23.6345,-102.5528,5,High,Spring,Golden Ruins (Mexico),3.9,0,48.2,38.0,12.0,26.0,36.0,32.0,42.0,20.0,20.0,23.4925,-102.6431,Expensive,5,"Khám phá nét độc đáo của Golden Ruins (Mexico) - điểm du lịch adventure đặc sắc tại Mexico. Nơi đây thu hút du khách nhờ các hoạt động trải nghiệm hấp dẫn vào spring, mức chi phí expensive cùng điểm số đánh giá 3.9/5 ấn tượng.",https://images.unsplash.com/photo-1512813195386-6cf811ad3542?w=1200&dest=goldenruinsmexico722817393118296741
Ayutthaya Historical Park,Thailand,Asia,Historical,190.82,Spring,4.0,1.83,Yes,Heritage,Expensive,🇹🇭,Asia,South-Eastern Asia,THB,฿,Thai,Bangkok,UTC+07:00,69800000.0,513120.0,TH,THA,"KH, LA, MMR, MY",15.87,100.9925,6,High,Spring,Hidden Valley (Thailand),4.0,0,43.66,38.0,15.0,27.0,39.0,25.0,35.0,22.0,22.0,15.8459,100.9773,Expensive,1,"Khám phá nét độc đáo của Hidden Valley (Thailand) - điểm du lịch historical đặc sắc tại Thailand. Nơi đây thu hút du khách nhờ các hoạt động trải nghiệm hấp dẫn vào spring, mức chi phí expensive cùng điểm số đánh giá 4.0/5 ấn tượng.",https://images.unsplash.com/photo-1534008897995-27a23e859048?w=1200&dest=hiddenvalleythailand2465065142251584364
Picos de Europa National Park,Spain,Europe,Adventure,104.6,Summer,4.1,4.83,No,Adventure,Moderate,🇪🇸,Europe,Southern Europe,EUR,€,Spanish,Madrid,UTC+01:00,47400000.0,505990.0,ES,ESP,"AD, FR, GI, PT, MA",40.4637,-3.7492,7,High,Summer,Hidden Park (Spain),4.1,6,50.66,54.0,22.0,39.0,45.0,50.0,70.0,11.0,11.0,40.5565,-3.8973,Moderate,4,"Hidden Park (Spain) là địa danh adventure nổi tiếng hàng đầu tại Spain. Được đánh giá 4.1/5 sao nhờ trải nghiệm độc đáo, địa điểm này có chi phí moderate và thời điểm ghé thăm hoàn hảo nhất là vào summer.",https://images.unsplash.com/photo-1509840841025-9088ba78a826?w=1200&dest=hiddenparkspain2353547109305584404
Copacabana Beach,Brazil,South America,Beach,118.53,Autumn,4.7,5.39,No,Nature,Moderate,🇧🇷,Americas,South America,BRL,R$,Portuguese,Brasilia,UTC-03:00,211000000.0,8515767.0,BR,BRA,"AR, BO, CO, GF, GY, PY, PE, SR, UY, VE",-14.235,-51.9253,8,High,Autumn,Grand Valley (Brazil),4.7,0,57.78,34.0,10.0,23.0,29.0,26.0,33.0,15.0,15.0,-14.1756,-51.9732,Moderate,2,"Nếu bạn đang lên kế hoạch du lịch beach, Grand Valley (Brazil) ở Brazil chính là lựa chọn lý tưởng. Với mức xếp hạng 4.7/5 sao từ cộng đồng du khách và chi phí du lịch thuộc phân khúc moderate, nơi này hứa hẹn kỳ nghỉ tuyệt vời vào autumn.",https://images.unsplash.com/photo-1511092307207-46f5e6bcb1d8?w=1200&dest=grandvalleybrazil3333895833460302723
Waitangi Treaty Grounds,New Zealand,Oceania,Historical,122.78,Spring,4.5,6.27,No,Heritage,Moderate,🇳🇿,Oceania,Australia and New Zealand,NZD,$,"English, Maori",Wellington,UTC+12:00,5000000.0,268021.0,NZ,NZL,,-40.9006,174.886,9,High,Spring,Ancient Beach (New Zealand),4.5,0,57.54,72.0,32.0,53.0,68.0,65.0,85.0,6.0,6.0,-40.986,174.965,Moderate,0,"Nếu bạn đang lên kế hoạch du lịch historical, Ancient Beach (New Zealand) ở New Zealand chính là lựa chọn lý tưởng. Với mức xếp hạng 4.5/5 sao từ cộng đồng du khách và chi phí du lịch thuộc phân khúc moderate, nơi này hứa hẹn kỳ nghỉ tuyệt vời vào spring.",https://images.unsplash.com/photo-1469521669194-babb48b5f3a5?w=1200&dest=ancientbeachnewzeala6054635125407362886
Nairobi,Kenya,Africa,City,119.99,Spring,4.8,1.43,No,Modern,Moderate,🇰🇪,Africa,Eastern Africa,KES,Sh,"Swahili, English",Nairobi,UTC+03:00,53700000.0,580367.0,KE,KEN,"ET, SO, SS, TZ, UG",-0.0236,37.9062,10,Medium,Spring,Serene Valley (Kenya),4.8,0,50.86,32.0,10.0,21.0,31.0,25.0,27.0,18.0,18.0,-0.1458,37.7852,Moderate,2,"Khám phá Serene Valley (Kenya) tại Kenya, một điểm đến city tuyệt vời với phong cảnh đẹp và bầu không khí trong lành. Điểm đến này có chi phí dịch vụ moderate (đánh giá trung bình 4.8/5), thích hợp nhất để du lịch vào spring.",https://images.unsplash.com/photo-1547970810-dc1eac37d174?w=1200&dest=serenevalleykenya146241693618626898
Great Wall of China,China,Asia,Historical,119.91,Autumn,5.0,1.66,No,Heritage,Moderate,🇨🇳,Asia,Eastern Asia,CNY,¥,Chinese,Beijing,UTC+08:00,1400000000.0,9596961.0,CN,CHN,"AF, BT, MMR, IN, KZ, KG, LA, MNG, NPL, KP, PK, RU, TJ, VN",35.8617,104.1954,11,High,Autumn,Hidden Ruins (China),5.0,0,53.32,40.0,16.0,29.0,40.0,28.0,60.0,25.0,25.0,35.8928,104.2875,Moderate,5,"Hidden Ruins (China) là địa danh historical nổi tiếng hàng đầu tại China. Được đánh giá 5.0/5 sao nhờ trải nghiệm độc đáo, địa điểm này có chi phí moderate và thời điểm ghé thăm hoàn hảo nhất là vào autumn.",https://images.unsplash.com/photo-1547981609-4b6bfe67ca0b?w=1200&dest=hiddenruinschina3068125697482574931
Himeji Castle,Japan,Asia,Historical,123.32,Winter,4.5,9.14,No,Heritage,Moderate,🇯🇵,Asia,Eastern Asia,JPY,¥,Japanese,Tokyo,UTC+09:00,126000000.0,377975.0,JP,JPN,,36.2048,138.2529,12,High,Winter,Ancient Park (Japan),4.5,0,63.28,68.0,26.0,48.0,65.0,45.0,88.0,11.0,11.0,36.2157,138.3948,Moderate,0,"Trải nghiệm hành trình du lịch historical thú vị tại Ancient Park (Japan) (Japan). Điểm đến này mang lại cảnh sắc say đắm lòng người, chi phí thuộc mức moderate, đánh giá cao 4.5/5 và rất thích hợp cho chuyến đi vào winter.",https://images.unsplash.com/photo-1542640244-7e672d6cef4e?w=1200&dest=ancientparkjapan420450429924077374
Marrakech,Morocco,Africa,City,191.13,Winter,4.1,3.46,Yes,Modern,Expensive,🇲🇦,Africa,Northern Africa,MAD,DH,Arabic,Rabat,UTC+01:00,36900000.0,446550.0,MA,MAR,"DZ, EH, ES",31.7917,-7.0926,13,High,Winter,Grand Canyon (Morocco),4.1,0,47.92,30.0,9.0,20.0,27.0,22.0,32.0,28.0,28.0,31.6653,-7.1546,Expensive,1,"Trải nghiệm hành trình du lịch city thú vị tại Grand Canyon (Morocco) (Morocco). Điểm đến này mang lại cảnh sắc say đắm lòng người, chi phí thuộc mức expensive, đánh giá cao 4.1/5 và rất thích hợp cho chuyến đi vào winter.",https://images.unsplash.com/photo-1551785076-c61086f35846?w=1200&dest=grandcanyonmorocco5516321895831861493
Hassan II Mosque,Morocco,Africa,Religious,288.92,Winter,4.9,2.26,No,Heritage,Luxury,🇲🇦,Africa,Northern Africa,MAD,DH,Arabic,Rabat,UTC+01:00,36900000.0,446550.0,MA,MAR,"DZ, EH, ES",31.7917,-7.0926,14,High,Winter,Golden Temple (Morocco),4.9,0,53.52,30.0,9.0,20.0,27.0,22.0,32.0,28.0,28.0,31.9073,-7.1341,Luxury,1,"Khám phá nét độc đáo của Golden Temple (Morocco) - điểm du lịch religious đặc sắc tại Morocco. Nơi đây thu hút du khách nhờ các hoạt động trải nghiệm hấp dẫn vào winter, mức chi phí luxury cùng điểm số đánh giá 4.9/5 ấn tượng.",https://images.unsplash.com/photo-1551785076-c61086f35846?w=1200&dest=goldentemplemorocco695980522226592523
Colosseum,Italy,Europe,Historical,186.92,Autumn,4.6,1.34,Yes,Heritage,Expensive,🇮🇹,Europe,Southern Europe,EUR,€,Italian,Rome,UTC+01:00,59600000.0,301340.0,IT,ITA,"AT, FR, SM, CH, SI, VA",41.8719,12.5674,15,Medium,Autumn,Serene Park (Italy),4.6,0,48.68,60.0,24.0,43.0,50.0,56.0,65.0,16.0,16.0,41.9333,12.4311,Expensive,4,"Nếu bạn đang lên kế hoạch du lịch historical, Serene Park (Italy) ở Italy chính là lựa chọn lý tưởng. Với mức xếp hạng 4.6/5 sao từ cộng đồng du khách và chi phí du lịch thuộc phân khúc expensive, nơi này hứa hẹn kỳ nghỉ tuyệt vời vào autumn.",https://images.unsplash.com/photo-1529260830199-42c24126f198?w=1200&dest=sereneparkitaly1712052463581088869
Cusco,Peru,South America,City,99.55,Autumn,4.0,3.08,No,Modern,Moderate,🇵🇪,South America,South America,PEN,S/.,Spanish,Lima,UTC-05:00,33000000.0,1285216.0,PE,PER,"BO, BR, CL, CO, EC",-9.19,-75.0152,16,High,Autumn,Lush Ruins (Peru),4.0,0,46.16,32.0,11.0,22.0,30.0,24.0,30.0,25.0,25.0,-9.1081,-74.8696,Moderate,2,"Nếu bạn đang lên kế hoạch du lịch city, Lush Ruins (Peru) ở Peru chính là lựa chọn lý tưởng. Với mức xếp hạng 4.0/5 sao từ cộng đồng du khách và chi phí du lịch thuộc phân khúc moderate, nơi này hứa hẹn kỳ nghỉ tuyệt vời vào autumn.",https://images.unsplash.com/photo-1531065208531-4036c0dba3ca?w=1200&dest=lushruinsperu861605288443405251
Rio de Janeiro,Brazil,South America,City,126.97,Winter,4.8,3.17,No,Modern,Moderate,🇧🇷,Americas,South America,BRL,R$,Portuguese,Brasilia,UTC-03:00,211000000.0,8515767.0,BR,BRA,"AR, BO, CO, GF, GY, PY, PE, SR, UY, VE",-14.235,-51.9253,17,High,Winter,Sacred Canyon (Brazil),4.8,0,54.34,34.0,10.0,23.0,29.0,26.0,33.0,15.0,15.0,-14.1251,-51.9613,Moderate,5,"Nếu bạn đang lên kế hoạch du lịch city, Sacred Canyon (Brazil) ở Brazil chính là lựa chọn lý tưởng. Với mức xếp hạng 4.8/5 sao từ cộng đồng du khách và chi phí du lịch thuộc phân khúc moderate, nơi này hứa hẹn kỳ nghỉ tuyệt vời vào winter.",https://images.unsplash.com/photo-1483729558449-99ef09a8c325?w=1200&dest=sacredcanyonbrazil4070227926795077787
Drakensberg Mountains,South Africa,Africa,Adventure,93.47,Autumn,4.5,8.12,No,Adventure,Moderate,🇿🇦,Africa,Southern Africa,ZAR,R,"Zulu, Xhosa, Afrikaans, English",Pretoria,UTC+02:00,59300000.0,1221037.0,ZA,ZAF,"BW, LS, MZ, NA, SZ, ZW",-30.5595,22.9375,18,High,Autumn,Mystic Forest (South Africa),4.5,6,61.24,38.0,14.0,26.0,34.0,32.0,73.0,22.0,22.0,-30.5188,22.8969,Moderate,2,"Trải nghiệm hành trình du lịch adventure thú vị tại Mystic Forest (South Africa) (South Africa). Điểm đến này mang lại cảnh sắc say đắm lòng người, chi phí thuộc mức moderate, đánh giá cao 4.5/5 và rất thích hợp cho chuyến đi vào autumn.",https://images.unsplash.com/photo-1580408041445-3966bb7ed408?w=1200&dest=mysticforestsouthafr7735270419679551757
Ha Long Bay,Vietnam,Asia,Beach,116.15,Summer,4.7,0.55,No,Nature,Moderate,🇻🇳,Asia,South-Eastern Asia,VND,₫,Vietnamese,Hanoi,UTC+07:00,97300000.0,331210.0,VN,VNM,"KH, CN, LA",14.0583,108.2772,19,Medium,Summer,Mystic Ruins (Vietnam),4.7,0,48.1,35.0,12.0,24.0,35.0,20.0,28.0,26.0,26.0,14.0149,108.3283,Moderate,2,"Mystic Ruins (Vietnam) là địa danh beach nổi tiếng hàng đầu tại Vietnam. Được đánh giá 4.7/5 sao nhờ trải nghiệm độc đáo, địa điểm này có chi phí moderate và thời điểm ghé thăm hoàn hảo nhất là vào summer.",https://images.unsplash.com/photo-1557750255-c76072a7aad1?w=1200&dest=mysticruinsvietnam1276895495888909267
Maasai Mara National Reserve,Kenya,Africa,Adventure,179.11,Summer,4.8,7.43,No,Adventure,Expensive,🇰🇪,Africa,Eastern Africa,KES,Sh,"Swahili, English",Nairobi,UTC+03:00,53700000.0,580367.0,KE,KEN,"ET, SO, SS, TZ, UG",-0.0236,37.9062,20,High,Summer,Lush Forest (Kenya),4.8,0,62.86,32.0,10.0,21.0,31.0,25.0,27.0,18.0,18.0,0.0091,37.8075,Expensive,5,"Khám phá Lush Forest (Kenya) tại Kenya, một điểm đến adventure tuyệt vời với phong cảnh đẹp và bầu không khí trong lành. Điểm đến này có chi phí dịch vụ expensive (đánh giá trung bình 4.8/5), thích hợp nhất để du lịch vào summer.",https://images.unsplash.com/photo-1516026672322-bc52d61a55d5?w=1200&dest=lushforestkenya1999950243300854035
Amazon Rainforest,Brazil,South America,Nature,108.04,Summer,4.4,8.7,No,Nature,Moderate,🇧🇷,Americas,South America,BRL,R$,Portuguese,Brasilia,UTC-03:00,211000000.0,8515767.0,BR,BRA,"AR, BO, CO, GF, GY, PY, PE, SR, UY, VE",-14.235,-51.9253,21,High,Summer,Ancient Forest (Brazil),4.4,0,61.4,34.0,10.0,23.0,29.0,26.0,33.0,15.0,15.0,-14.336,-51.9615,Moderate,2,"Nếu bạn đang lên kế hoạch du lịch nature, Ancient Forest (Brazil) ở Brazil chính là lựa chọn lý tưởng. Với mức xếp hạng 4.4/5 sao từ cộng đồng du khách và chi phí du lịch thuộc phân khúc moderate, nơi này hứa hẹn kỳ nghỉ tuyệt vời vào summer.",https://images.unsplash.com/photo-1518639192441-8fce0a366e2e?w=1200&dest=ancientforestbrazil309120559063682974
Christ the Redeemer,Brazil,South America,Religious,74.59,Spring,4.8,1.1,Yes,Heritage,Budget,🇧🇷,Americas,South America,BRL,R$,Portuguese,Brasilia,UTC-03:00,211000000.0,8515767.0,BR,BRA,"AR, BO, CO, GF, GY, PY, PE, SR, UY, VE",-14.235,-51.9253,22,Medium,Spring,Grand Ruins (Brazil),4.8,0,50.2,34.0,10.0,23.0,29.0,26.0,33.0,15.0,15.0,-14.3191,-51.978,Budget,2,"Khám phá nét độc đáo của Grand Ruins (Brazil) - điểm du lịch religious đặc sắc tại Brazil. Nơi đây thu hút du khách nhờ các hoạt động trải nghiệm hấp dẫn vào spring, mức chi phí budget cùng điểm số đánh giá 4.8/5 ấn tượng.",https://images.unsplash.com/photo-1483729558449-99ef09a8c325?w=1200&dest=grandruinsbrazil3176956401692599695
Goa Beaches,India,Asia,Beach,94.68,Spring,4.1,7.43,No,Nature,Moderate,🇮🇳,Asia,Southern Asia,INR,₹,"Hindi, English",New Delhi,UTC+05:30,1380000000.0,3287263.0,IN,IND,"BD, BT, CN, MMR, NPL, PK",20.5937,78.9629,23,High,Spring,Mystic Forest (India),4.1,0,55.86,25.0,6.0,16.0,25.0,18.0,48.0,45.0,45.0,20.5124,78.8225,Moderate,2,"Khám phá Mystic Forest (India) tại India, một điểm đến beach tuyệt vời với phong cảnh đẹp và bầu không khí trong lành. Điểm đến này có chi phí dịch vụ moderate (đánh giá trung bình 4.1/5), thích hợp nhất để du lịch vào spring.",https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=1200&dest=mysticforestindia7460919370976695220
Acropolis of Athens,Greece,Europe,Religious,191.74,Spring,4.6,4.99,No,Heritage,Expensive,🇬🇷,Europe,Southern Europe,EUR,€,Greek,Athens,UTC+02:00,10700000.0,131957.0,GR,GRC,"AL, BG, TR, MKD",39.0742,21.8243,24,High,Spring,Sacred Park (Greece),4.6,0,55.98,55.0,18.0,37.0,44.0,52.0,43.0,18.0,18.0,39.0445,21.6942,Expensive,4,"Sacred Park (Greece) là địa danh religious nổi tiếng hàng đầu tại Greece. Được đánh giá 4.6/5 sao nhờ trải nghiệm độc đáo, địa điểm này có chi phí expensive và thời điểm ghé thăm hoàn hảo nhất là vào spring.",https://images.unsplash.com/photo-1503152394-c571994fd383?w=1200&dest=sacredparkgreece3583757416366998372
Vancouver,Canada,North America,City,168.08,Spring,4.3,7.73,No,Modern,Expensive,🇨🇦,Americas,Northern America,CAD,$,"English, French",Ottawa,UTC-05:00,38000000.0,9984670.0,CA,CAN,US,56.1304,-106.3468,25,High,Spring,Sacred Forest (Canada),4.3,0,58.46,70.0,34.0,53.0,66.0,64.0,90.0,8.0,8.0,56.2433,-106.4024,Expensive,3,"Khám phá nét độc đáo của Sacred Forest (Canada) - điểm du lịch city đặc sắc tại Canada. Nơi đây thu hút du khách nhờ các hoạt động trải nghiệm hấp dẫn vào spring, mức chi phí expensive cùng điểm số đánh giá 4.3/5 ấn tượng.",https://images.unsplash.com/photo-1517935706615-2717063c2225?w=1200&dest=sacredforestcanada5754591203359239896
Gorges du Verdon,France,Europe,Nature,224.77,Spring,4.6,5.19,No,Nature,Expensive,🇫🇷,Europe,Western Europe,EUR,€,French,Paris,UTC+01:00,67400000.0,643801.0,FR,FRA,"AD, BE, DE, IT, LU, MC, ES, CH",46.2276,2.2137,26,High,Spring,Ancient Falls (France),4.6,0,56.38,74.0,30.0,53.0,68.0,72.0,85.0,10.0,10.0,46.1963,2.3381,Expensive,3,"Trải nghiệm hành trình du lịch nature thú vị tại Ancient Falls (France) (France). Điểm đến này mang lại cảnh sắc say đắm lòng người, chi phí thuộc mức expensive, đánh giá cao 4.6/5 và rất thích hợp cho chuyến đi vào spring.",https://images.unsplash.com/photo-1550340499-a6c60fc8287c?w=1200&dest=ancientfallsfrance7710795896205312069
Buenos Aires,Argentina,South America,City,30.0,Summer,4.7,0.74,Yes,Modern,Budget,🇦🇷,Americas,South America,ARS,$,Spanish,Buenos Aires,UTC-03:00,45000000.0,2780400.0,AR,ARG,"BO, BR, CL, PY, UY",-38.4161,-63.6167,27,Medium,Summer,Ancient Valley (Argentina),4.7,0,48.48,30.0,8.0,20.0,28.0,25.0,35.0,14.0,14.0,-38.5232,-63.7248,Budget,2,"Trải nghiệm hành trình du lịch city thú vị tại Ancient Valley (Argentina) (Argentina). Điểm đến này mang lại cảnh sắc say đắm lòng người, chi phí thuộc mức budget, đánh giá cao 4.7/5 và rất thích hợp cho chuyến đi vào summer.",https://images.unsplash.com/photo-1589802829985-817e51171b92?w=1200&dest=ancientvalleyargenti5753497122794247796
Phu Quoc Island,Vietnam,Asia,Beach,79.06,Winter,4.8,5.33,Yes,Nature,Budget,🇻🇳,Asia,South-Eastern Asia,VND,₫,Vietnamese,Hanoi,UTC+07:00,97300000.0,331210.0,VN,VNM,"KH, CN, LA",14.0583,108.2772,28,High,Winter,Lush Forest (Vietnam),4.8,0,58.66,35.0,12.0,24.0,35.0,20.0,28.0,26.0,26.0,14.07,108.3513,Budget,2,"Khám phá nét độc đáo của Lush Forest (Vietnam) - điểm du lịch beach đặc sắc tại Vietnam. Nơi đây thu hút du khách nhờ các hoạt động trải nghiệm hấp dẫn vào winter, mức chi phí budget cùng điểm số đánh giá 4.8/5 ấn tượng.",https://images.unsplash.com/photo-1559592413-7cec4d0cae2b?w=1200&dest=lushforestvietnam8282169759498791525
Statue of Liberty,USA,North America,Historical,139.02,Autumn,4.6,4.4,No,Heritage,Moderate,🇺🇸,Americas,Northern America,USD,$,English,Washington D.C.,UTC-05:00,331000000.0,9833517.0,US,USA,"CA, MX",37.0902,-95.7129,29,High,Autumn,Sacred Temple (USA),4.6,0,54.8,70.0,40.0,56.0,71.0,70.0,110.0,9.0,9.0,37.2095,-95.7431,Moderate,0,"Trải nghiệm hành trình du lịch historical thú vị tại Sacred Temple (USA) (USA). Điểm đến này mang lại cảnh sắc say đắm lòng người, chi phí thuộc mức moderate, đánh giá cao 4.6/5 và rất thích hợp cho chuyến đi vào autumn.",https://images.unsplash.com/photo-1501594907352-04cda38ebc29?w=1200&dest=sacredtempleusa205758708758714317
